Job Title,Company,Location,Description,Date,Deadline,Job Type,Link
Vil du være med på en av Norges største datareiser?,DNB,-Not found-,Vil du være med på en av Norges største datareiser?,-Not found-,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343990082
Data scientist,Skatteetaten, Bergen,Data scientist,15. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344255412
Online Data Analyst,TELUS International AI Inc, USA,Online Data Analyst,13. mars 2024 ,False,parttime,https://www.finn.no/job/parttime/ad.html?finnkode=343961632
Brand & Guest Data Analyst,Hurtigruten Norway, Oslo,Brand & Guest Data Analyst,1. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342281710
Head Energy is looking for a skilled/experienced Data Analyst,Head Energy IT Consulting, Sandnes,Head Energy is looking for a skilled/experienced Data Analyst,4. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342723474
"Trives du med tall, data og programmering?",Gjensidige, Oslo,"Trives du med tall, data og programmering?",11. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343692634
Are you looking for an exciting and multifaceted role in the field of data science and sales development?,Kongsberg Discovery, Horten,Are you looking for an exciting and multifaceted role in the field of data science and sales development?,6. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343043204
Join us in developing ground-breaking products for aquaculture,OptoScale, Trondheim,Join us in developing ground-breaking products for aquaculture,6. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343001773
Do you deliver Service Above All?,NOV,Fornebu,Do you deliver Service Above All?,2024-03-20,True,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343183282
Master of science / Researcher - Digital Production,SINTEF Manufacturing AS, Trondheim,Master of science / Researcher - Digital Production,28. feb. 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342046750
Researcher within Digital Twins of the Ocean,SINTEF Ocean AS, Trondheim,Researcher within Digital Twins of the Ocean,1. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342345064
Senior R&D Engineer in HealthTech start up,Ably Medical AS, Oslo,Senior R&D Engineer in HealthTech start up,8. feb. 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=339430941
Data & Integration analyst,NES GLOBAL TALENT NORGE AS, Stavanger,Data & Integration analyst,1. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342323710
Vil du være med på en av Norges største datareiser?,DNB, Oslo,Vil du være med på en av Norges største datareiser?,13. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343990082
